"t" "y" "dy"
-9 -1.72655455157378 0.07
-8 -1.37723048480538 0.07
-7 -0.965890727887969 0.07
-4 -1.90672738443891 0.07
-3 -1.39600374234118 0.07
-2 -1.53907535759872 0.07
2 -1.93629925498596 0.07
4 -2.50230528623402 0.07
9 -1.02514396744187 0.07
14 -1.36671070242596 0.07
15 -1.16552395533008 0.07
23 -1.47887887235746 0.07
27 -1.8996068379331 0.07
31 -1.09248299010321 0.07
36 -0.436016404476894 0.07
40 -0.17042232232177 0.07
42 0.069308434449756 0.07
51 1.14792657279262 0.07
57 1.44646760635904 0.07
65 0.0953322069025563 0.07
66 -0.10782328701033 0.07
69 -0.226356556826085 0.07
72 0.231621182281644 0.07
80 -1.19639287714897 0.07
84 -1.03983348224168 0.07
86 -0.153010804519125 0.07
91 0.285379315271892 0.07
92 0.294897838230049 0.07
93 0.83428794575069 0.07
94 0.670299724825315 0.07
97 1.12511771692447 0.07
98 1.50516710786087 0.07
104 0.55142195869586 0.07
106 0.341217243771337 0.07
109 -0.117350700928491 0.07
110 0.317513439295028 0.07
111 0.519116362147321 0.07
112 0.583568411005956 0.07
119 0.279402348877485 0.07
125 -0.238919858812782 0.07
126 -0.441285983629929 0.07
128 -0.111261552180401 0.07
130 0.311914823632857 0.07
133 0.419790778952361 0.07
134 0.893024499523909 0.07
135 0.445446536235598 0.07
145 0.553404998311694 0.07
147 0.0234770956019093 0.07
150 -0.401457897420995 0.07
154 -0.688512859693639 0.07
155 -1.07642916282135 0.07
165 -1.24719350240636 0.07
169 -0.757256827699521 0.07
172 -1.00687965713901 0.07
176 -0.83937655208845 0.07
180 0.552061563009705 0.07
182 -0.0726368289715405 0.07
185 -0.0192849541680451 0.07
187 0.799531736937931 0.07
188 1.16733066628762 0.07
189 1.77549209451271 0.07
190 1.46916498059808 0.07
194 1.99432722211808 0.07
196 1.72250891644544 0.07
200 1.62834310539184 0.07
201 1.03939566145908 0.07
203 1.49726112309511 0.07
205 1.78118201678442 0.07
208 1.89291636754033 0.07
209 1.54231954384127 0.07
210 1.35185520392127 0.07
212 1.58921858354405 0.07
215 0.873182318419625 0.07
220 0.291150152730291 0.07
223 0.776897324763518 0.07
225 0.435345239968943 0.07
226 0.849925929636286 0.07
229 1.31063221782893 0.07
231 1.62426697083797 0.07
236 1.8470301611837 0.07
239 1.61730147377536 0.07
245 1.46533014591586 0.07
247 1.34042115961105 0.07
250 0.748279727925358 0.07
252 0.430112702165535 0.07
257 -0.111004500584084 0.07
258 -0.224652246962187 0.07
259 -0.627090004738222 0.07
260 -0.191319854658528 0.07
261 -0.532827327520696 0.07
265 -0.0128424977750293 0.07
270 -1.87093075113446 0.07
276 -1.44657537721319 0.07
279 -1.76477437682461 0.07
280 -1.64361396238948 0.07
282 -1.59494402101901 0.07
284 -2.42993808521116 0.07
288 -2.59983138908597 0.07
289 -2.49140262977867 0.07
293 -2.65751863728936 0.07
294 -2.87884030594366 0.07
296 -2.42543901704359 0.07
304 -1.20574924007133 0.07
307 -0.220034240198116 0.07
309 0.931732893115469 0.07
310 1.2266920163005 0.07
313 1.50285508523964 0.07
316 1.90101907642624 0.07
317 1.8237608980825 0.07
323 1.7567013813404 0.07
326 1.66494399157352 0.07
331 2.76849961151406 0.07
335 3.07995212910187 0.07
336 2.86893462886825 0.07
338 2.33830759689395 0.07
343 2.58735392749179 0.07
344 2.2732770809581 0.07
350 1.54996861208358 0.07
352 0.848543415025065 0.07
353 0.853192572824345 0.07
359 -1.27923583358947 0.07
361 -0.517031532497259 0.07
364 -0.22022142698372 0.07
366 0.301855708861724 0.07
367 -0.0104226982460732 0.07
369 0.844503233628268 0.07
375 0.0410591719808476 0.07
377 -0.324239653873508 0.07
380 0.646634631123881 0.07
384 1.6056202761917 0.07
388 2.46258794591954 0.07
391 1.62710301356942 0.07
392 2.29164168427596 0.07
396 2.02752251746395 0.07
398 1.73268804430542 0.07
403 0.613056483166715 0.07
407 0.0396190395842437 0.07
408 -0.172790369576711 0.07
410 -0.0533142753562693 0.07
415 -0.775640729436378 0.07
417 -0.749658046455156 0.07
418 -0.764228604009565 0.07
419 -1.21768336467951 0.07
420 -1.26721324326334 0.07
425 -1.00386951305511 0.07
427 -1.55952437167583 0.07
431 -1.34146003949432 0.07
438 -1.31327548568431 0.07
439 -1.97089831826035 0.07
442 -2.36598951149887 0.07
443 -2.4458271796107 0.07
445 -1.91117843818599 0.07
447 -1.50587067990786 0.07
450 -1.28353640486819 0.07
452 -1.40219032644288 0.07
454 -0.920885564909484 0.07
457 -0.562146715017402 0.07
458 -0.242279633953636 0.07
460 -0.128095197599891 0.07
463 2.04380062621774 0.07
470 0.954442308064352 0.07
472 1.11842287862933 0.07
475 0.251896175903113 0.07
476 0.307492834303968 0.07
479 0.0670316120673891 0.07
482 -0.852625229217172 0.07
486 -0.697486716856863 0.07
491 -0.868766582197025 0.07
495 -1.67433312481123 0.07
499 -1.92164349824295 0.07
500 -1.14608219844865 0.07
504 -1.60289856948591 0.07
505 -0.949462107604878 0.07
507 -1.11043275691516 0.07
518 -0.632756017034135 0.07
520 -0.581883495937322 0.07
521 -1.0697558707375 0.07
525 -0.203059215806556 0.07
526 -0.52927304912404 0.07
527 -0.260168432292999 0.07
528 -0.339242518060328 0.07
534 -1.23129176519231 0.07
536 -1.13380097428055 0.07
543 -2.20465438218499 0.07
550 -2.08750684391785 0.07
551 -1.77153590155397 0.07
552 -1.31306653978303 0.07
556 -1.61343393566065 0.07
560 -2.08643925296594 0.07
564 -2.21309747608372 0.07
569 -1.34139304147756 0.07
571 -2.22127036561418 0.07
576 -1.8047649525191 0.07
577 -1.98298625629111 0.07
578 -1.72828594179077 0.07
579 -1.77660681210496 0.07
580 -2.31202896428359 0.07
581 -2.04771664956179 0.07
586 -1.45706237880155 0.07
587 -1.15797645391267 0.07
