"t" "y"
8 6.97657093671399
9 8.73756111711385
23 16.1254641432402
29 5.10759989345392
32 7.52750034947477
40 9.60553773587804
44 7.4265298472223
46 5.19508267513644
62 4.94678883032487
67 9.17400159400725
69 9.01677250783225
73 1.76712900236088
92 -13.1291499965931
95 -18.1306237815973
100 -18.2716390665156
108 -8.75862039337598
111 -1.77315616480558
118 11.616477017679
125 20.3855526581607
136 22.6742654906663
138 21.6675201631758
162 -1.77360440660397
172 -1.43816456110292
175 -7.21601993885901
179 -7.8135167004272
181 -4.45057075126306
193 15.6271220785645
197 20.7531601795039
198 20.7404832579869
208 20.8635264811457
218 7.18019139910004
266 -35.382706947054
272 -34.601803347154
279 -36.6563206236459
280 -33.5880593920861
288 -33.3950662270408
298 -4.29704600002625
299 -1.70310041939524
301 1.91908767171612
331 17.3068532119944
332 17.1427112052482
341 20.4877935527012
343 21.0491582820415
345 27.3906649907148
346 30.8598812739792
354 34.5125431589053
361 32.8537814856034
372 31.0150879438259
388 16.5682742639788
393 13.7545672333957
